"Id_Accedeweb","Cd_Accedeweb","Description","Label","Rank","Dtype","Cd_Rgaa3","Id_Test_Id"
"574","Rgaa32017-1-3-6-Accedeweb-GRAPH-2-3",NULL,NULL,"36","G","Rgaa32017-1-3-6","16"
"575","Rgaa32017-1-3-6-Accedeweb-EDIT-4-2",NULL,NULL,"37","E","Rgaa32017-1-3-6","16"
"576","Rgaa32017-1-3-7-Accedeweb-GRAPH-2-3",NULL,NULL,"38","G","Rgaa32017-1-3-7","17"
"577","Rgaa32017-1-3-8-Accedeweb-GRAPH-2-3",NULL,NULL,"39","G","Rgaa32017-1-3-8","18"
"578","Rgaa32017-1-3-8-Accedeweb-EDIT-4-2",NULL,NULL,"40","E","Rgaa32017-1-3-8","18"
"579","Rgaa32017-1-3-9-Accedeweb-GRAPH-2-3",NULL,NULL,"41","G","Rgaa32017-1-3-9","19"
"580","Rgaa32017-1-3-10-Accedeweb-GRAPH-2-3",NULL,NULL,"42","G","Rgaa32017-1-3-10","20"
"581","Rgaa32017-1-3-10-Accedeweb-EDIT-4-2",NULL,NULL,"43","E","Rgaa32017-1-3-10","20"
"582","Rgaa32017-1-3-11-Accedeweb-GRAPH-2-3",NULL,NULL,"44","G","Rgaa32017-1-3-11","21"
"583","Rgaa32017-1-3-12-Accedeweb-GRAPH-2-3",NULL,NULL,"45","G","Rgaa32017-1-3-12","22"
"584","Rgaa32017-1-3-13-Accedeweb-GRAPH-2-3",NULL,NULL,"46","G","Rgaa32017-1-3-13","23"
"585","Rgaa32017-1-3-13-Accedeweb-EDIT-4-2",NULL,NULL,"47","E","Rgaa32017-1-3-13","23"
"586","Rgaa32017-1-5-1-Accedeweb-GRAPH-7-13",NULL,NULL,"48","G","Rgaa32017-1-5-1","36"
"587","Rgaa32017-1-5-1-Accedeweb-GRAPH-7-14",NULL,NULL,"49","G","Rgaa32017-1-5-1","36"
"588","Rgaa32017-1-5-2-Accedeweb-GRAPH-7-13",NULL,NULL,"50","G","Rgaa32017-1-5-2","37"
"589","Rgaa32017-1-5-2-Accedeweb-GRAPH-7-14",NULL,NULL,"51","G","Rgaa32017-1-5-2","37"
"590","Rgaa32017-1-6-1-Accedeweb-EDIT-4-4",NULL,NULL,"52","E","Rgaa32017-1-6-1","38"
"591","Rgaa32017-1-6-1-Accedeweb-EDIT-8-1",NULL,NULL,"53","E","Rgaa32017-1-6-1","38"
"592","Rgaa32017-1-6-2-Accedeweb-EDIT-4-4",NULL,NULL,"54","E","Rgaa32017-1-6-2","39"
"593","Rgaa32017-1-6-2-Accedeweb-EDIT-8-1",NULL,NULL,"55","E","Rgaa32017-1-6-2","39"
"594","Rgaa32017-1-6-3-Accedeweb-EDIT-4-4",NULL,NULL,"56","E","Rgaa32017-1-6-3","40"
"595","Rgaa32017-1-6-3-Accedeweb-EDIT-8-1",NULL,NULL,"57","E","Rgaa32017-1-6-3","40"
"596","Rgaa32017-1-6-4-Accedeweb-EDIT-4-4",NULL,NULL,"58","E","Rgaa32017-1-6-4","41"
"597","Rgaa32017-1-6-4-Accedeweb-EDIT-8-1",NULL,NULL,"59","E","Rgaa32017-1-6-4","41"
"598","Rgaa32017-1-6-6-Accedeweb-HTML-13",NULL,NULL,"60","H","Rgaa32017-1-6-6","43"
"599","Rgaa32017-1-6-6-Accedeweb-EDIT-4-4",NULL,NULL,"61","E","Rgaa32017-1-6-6","43"
"600","Rgaa32017-1-6-6-Accedeweb-EDIT-8-1",NULL,NULL,"62","E","Rgaa32017-1-6-6","43"
"601","Rgaa32017-1-6-7-Accedeweb-HTML-13",NULL,NULL,"63","H","Rgaa32017-1-6-7","44"
"602","Rgaa32017-1-6-8-Accedeweb-EDIT-4-4",NULL,NULL,"64","E","Rgaa32017-1-6-8","45"
"603","Rgaa32017-1-6-8-Accedeweb-EDIT-8-1",NULL,NULL,"65","E","Rgaa32017-1-6-8","45"
"604","Rgaa32017-1-7-1-Accedeweb-EDIT-4-4",NULL,NULL,"66","E","Rgaa32017-1-7-1","48"
"605","Rgaa32017-1-7-1-Accedeweb-EDIT-8-1",NULL,NULL,"67","E","Rgaa32017-1-7-1","48"
"606","Rgaa32017-1-7-2-Accedeweb-EDIT-4-4",NULL,NULL,"68","E","Rgaa32017-1-7-2","49"
"607","Rgaa32017-1-7-2-Accedeweb-EDIT-8-1",NULL,NULL,"69","E","Rgaa32017-1-7-2","49"
"608","Rgaa32017-1-7-3-Accedeweb-EDIT-4-4",NULL,NULL,"70","E","Rgaa32017-1-7-3","50"
"609","Rgaa32017-1-7-3-Accedeweb-EDIT-8-1",NULL,NULL,"71","E","Rgaa32017-1-7-3","50"
"610","Rgaa32017-1-7-4-Accedeweb-EDIT-4-4",NULL,NULL,"72","E","Rgaa32017-1-7-4","51"
"611","Rgaa32017-1-7-4-Accedeweb-EDIT-8-1",NULL,NULL,"73","E","Rgaa32017-1-7-4","51"
"612","Rgaa32017-1-7-5-Accedeweb-HTML-13",NULL,NULL,"74","H","Rgaa32017-1-7-5","52"
"613","Rgaa32017-1-7-5-Accedeweb-EDIT-4-4",NULL,NULL,"75","E","Rgaa32017-1-7-5","52"
"614","Rgaa32017-1-7-5-Accedeweb-EDIT-8-1",NULL,NULL,"76","E","Rgaa32017-1-7-5","52"
"615","Rgaa32017-1-7-6-Accedeweb-HTML-13",NULL,NULL,"77","H","Rgaa32017-1-7-6","53"
"616","Rgaa32017-1-7-7-Accedeweb-EDIT-4-4",NULL,NULL,"78","E","Rgaa32017-1-7-7","54"
"617","Rgaa32017-1-7-7-Accedeweb-EDIT-8-1",NULL,NULL,"79","E","Rgaa32017-1-7-7","54"
